"","Start_time","Stop_time","Query","Query_complexity","Role","Sub_themes","Code","Query_counter","Transcript","Actor_pair"
"11","00:04:45.990","00:05:00.690","Where does cinnamon come from?","remember","Seeker","Navigation + Information Request","A:Access source + Information request within document",11,"Does it does the on that site or piece of information does it say cinnamon that we get cinnamon from Sri Lanka or or does it tell me anything about cinnamon produce","1"
"12","00:05:02.740","00:05:47.080","Where does cinnamon come from?","remember","Intermediary","Results Presentation + Results Presentation","B:SERP without modification + Scanning document with modification",12,"The first one talks about traditional Dutch cinnamon cookies but it doesn't talk about uhm, where cinnamon is actually coming from uhm, Biscoff, European coffee cinnamon and spices I a clicking I am just going in and having a look at some... so this one again is a it is a type of you know manufacturer this is Biscoff and it is, it's like you know as I said Arnotts, it talks about having to do with stuff like, but it doesn't actually","1"
"13","00:06:24.040","00:06:25.320","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request within document",13,"Do you, does it have uhm, like a name for one of the biscuits like, you know we have Anzac biscuits and so forth does it say the name of a cinnamon biscuit the Belgian cinnamon biscuits or something","1"
"14","00:06:34.290","00:06:47.590","Airport Security","analyze","Seeker","Information Request","A:Initial information request",1,"Can you type in uhm, effective effectiveness of new security measures at airports?","1"
"15","00:06:58.040","00:07:02.840","Airport Security","analyze","Intermediary","Information Request","B:Query refinement offer",2,"Australia or is it just airports?","1"
"16","00:07:02.940","00:07:08.240","Airport Security","analyze","Seeker","Information Request","A:Intent clarification",3,"Put uhm international international airports","1"
"17","00:07:19.600","00:07:33.990","Airport Security","analyze","Intermediary","Results Presentation + Results Presentation","B:SERP without modification + Interpretation",4,"OK the first one that comes up is airport security measures aren't good enough here's a fix uhm it doesn't say who it's by looks like seems to be an article two thousand and fourteen so it is not that recent","1"
"18","00:07:34.040","00:07:37.140","Airport Security","analyze","Seeker","Information Request","A:Info about document",5,"Does it, is it from a newspaper or is it from a","1"
"19","00:07:37.490","00:07:43.490","Airport Security","analyze","Intermediary","Results Presentation + Results Presentation","B:Source information + Interpretation",6,"It is theconversation dot com so uhm, so it may be or may be a blog","1"
"20","00:07:43.590","00:07:45.090","Airport Security","analyze","Seeker","Discourse Management","A:Confirms",7,"OK","1"
"21","00:07:45.440","00:08:03.540","Airport Security","analyze","Intermediary","Results Presentation + Results Presentation","B:SERP without modification + Interpretation",8,"TSA guidelines for passengers on new security that's east Texas airpark, there's airport security Wikipedia, there's the debate over airport security uhm that seems to be from an organisation called the CFR uhm","1"
"22","00:08:03.490","00:08:07.790","Airport Security","analyze","Seeker","Navigation","A:Access source",9,"Can you just look at the CFR website","1"
"23","00:08:07.940","00:08:10.340","Airport Security","analyze","Intermediary","Results Presentation","B:Source information",10,"This is a two thousand and ten so","1"
"24","00:08:11.291","00:08:14.459","Airport Security","analyze","Seeker","Search Progression","A:Rejects",11,"OK try and yeah OK forget that one","1"
"25","00:08:14.459","00:08:14.837","Airport Security","analyze","Intermediary","Discourse Management","B:Confirms",12,"OK","1"
"26","00:08:19.229","00:08:21.972","Airport Security","analyze","Seeker","Information Request","A:Information request within SERP",13,"What's the fourth article?","1"
"27","00:08:22.606","00:08:24.173","Airport Security","analyze","Intermediary","Visibility Of System Status","B:Wayfinding",14,"That was the fourth","1"
"28","00:08:24.187","00:08:25.727","Airport Security","analyze","Seeker","Navigation","A:Next",15,"What is the one next to","1"
"29","00:08:26.740","00:08:41.040","Airport Security","analyze","Intermediary","Results Presentation + Results Presentation","B:SERP with modification + Interpretation",16,"The next one is the impact of nine eleven so that's from two thousand and seven, so a lot of these tend to be quite old, two thousand and thirteen, two thousand and ten are you wanting anything newer?","1"
"30","00:08:41.140","00:08:46.990","Airport Security","analyze","Seeker","Information Request","A:Information request",17,"Ah uhm, new security measures after Brussels bombing","1"
"31","00:08:47.090","00:08:52.100","Airport Security","analyze","Intermediary","Information Request","B:Query refinement offer",18,"OK effectiveness of new security measures at international airports... just add it","1"
"32","00:08:52.140","00:08:53.840","Airport Security","analyze","Seeker","Discourse Management","A:Confirms",19,"Yes yes","1"
"33","00:09:00.290","00:09:26.760","Airport Security","analyze","Intermediary","Results Presentation","B:SERP without modification",20,"Okay so in Brussels airport bombing brings new security measures in the US that is two thousand and sixteen, so that's much better April nine uhm, we've got March two thousand and sixteen, Brussels attacks how airport bombings will change it is probably the air what security that's news dot com, Washington post was the first uhm article","1"
"34","00:09:26.940","00:09:29.800","Airport Security","analyze","Seeker","Navigation","A:Access source",21,"Can you just look at the news dot com","1"
"35","00:09:29.890","00:10:22.990","Airport Security","analyze","Intermediary","Visibility Of System Status + Results Presentation + Results Presentation","B:Wayfinding + Scanning document without modification + Interpretation of photos",22,"Yep that's the second one that's the Brussels attacks how airport bombings will change air [inaudible segment] [long pause] OK how attacks at Zaventem Zaventem airport in Brussels will change air travel uhm. It is just a picture of the, I think he is the mastermind uhm, it's, there's windows shattered at the airport and then Australian airports have consulted federal police following the shocking attacks on Brussels Airport uhm, it talks about that Australia's National University Counter-terrorism [inaudible segment]","1"
"36","00:10:24.440","00:10:25.940","Airport Security","analyze","Seeker","Information Request","A:Information request within document",23,"What are the countermeasures?","1"
"37","00:10:26.290","00:11:22.100","Airport Security","analyze","Intermediary","Results Presentation + Results Presentation","B:Within-Document search result + Interpretation",24,"Experts, he says most likely this week's arrest of Paris [inaudible segment] Obviously there is a ripple effect on aviation when an airport closes down airports will be looking at their own security it doesn't uhm... go into what you need, airlines were pointedly avoiding airspace over Brussels Australia's Department says they've changed the advice to travelling to a high degree of caution uhm [long pause] so there's a few airports that have screening before you get to the airport so it talks about Tokyo, Israel uhm, are two that spring to mind","1"
"38","00:11:22.395","00:11:42.595","Airport Security","analyze","Seeker","Information Request","A:Information request",25,"So uhm can you go and change the search question to effectiveness of uhm... passenger and baggage screenings at airport","1"
"39","00:11:47.400","00:11:49.100","Airport Security","analyze","Intermediary","Discourse Management","B:Asks to repeat",26,"Passenger and","1"
"40","00:11:49.400","00:11:50.900","Airport Security","analyze","Seeker","Discourse Management","A:Query repeat",27,"Baggage","1"
"41","00:11:57.900","00:12:02.200","Airport Security","analyze","Intermediary","Information Request","B:Query refinement offer",28,"So get rid of uhm, security measures","1"
"42","00:12:02.800","00:12:07.400","Airport Security","analyze","Seeker","Search Progression","A:Rejects",29,"Uhm leave security measures","1"
"43","00:12:07.850","00:12:15.200","Airport Security","analyze","Intermediary","Information Request","B:Query refinement offer",30,"And international, international airports brussels bombing, do we want to keep all of that?","1"
"44","00:12:15.250","00:12:16.850","Airport Security","analyze","Seeker","Information Request","A:Intent clarification",31,"No take out Brussels bombing","1"
"45","00:12:23.800","00:12:28.500","Airport Security","analyze","Intermediary","Results Presentation","B:SERP without modification",32,"OK and we have Wikipedia airport security","1"
"46","00:12:28.700","00:12:32.600","Airport Security","analyze","Seeker","Navigation","A:Access source",33,"What does it say uhm just open Wikipedia","1"
"47","00:12:33.600","00:12:37.700","Airport Security","analyze","Intermediary","Results Presentation","B:Scanning document without modification",34,"Airport security refers to techniques and methods","1"
"48","00:12:38.200","00:12:46.900","Airport Security","analyze","Seeker","Information Request","A:Information request within document",35,"Does it, is there any uhm sort of heading or subheading on uhm, effectiveness or","1"
"49","00:12:47.500","00:13:16.520","Airport Security","analyze","Intermediary","Results Presentation","B:Within-Document search result",36,"Yeah, there is a description of of what is going on there's airport enforcement authorities like police and everyone who's blahbahblah process and equipment uhm, notable incidents, airport security by country and it just goes Canada Europe France Ireland no Iceland Netherlands Spain Sweden UK [inaudible segment] Israel Singapore","1"
"50","00:13:16.700","00:13:22.000","Airport Security","analyze","Seeker","Information Request","A:Information request within document",37,"What's it say on France for example?","1"
"51","00:13:22.300","00:13:55.200","Airport Security","analyze","Intermediary","Results Presentation","B:Scanning document without modification",38,"France French security has been stepped up since terrorist attacks in France in nineteen eighty-six. That's a bit old. In response France established the Vigipirate program. The program uses troops to reinforce local security and increases requirements in screenings and ID checks. Since nineteen ninety-six security check-points have transferred from the Police Nationale uhm Gendarmerie to private companies hired by the airport authorities","1"
"52","00:13:56.027","00:14:08.600","Airport Security","analyze","Seeker","Information Request","A:Information request",39,"Okay uhm... oh god... can you just then type in uhm... improvements to","1"
"53","00:14:08.650","00:14:11.370","Airport Security","analyze","Intermediary","Information Request","B:Query refinement offer",40,"So instead of effectiveness just improvements?","1"
"54","00:14:11.600","00:14:21.340","Airport Security","analyze","Seeker","Information Request","A:Information request",41,"Yeah well maybe start a new search improvements to uhm... passenger and baggage airport security","1"
"55","00:14:21.390","00:14:23.650","Airport Security","analyze","Intermediary","Information Request","B:Query refinement offer",42,"OK is there a particular country that you're after?","1"
"56","00:14:23.690","00:14:25.920","Airport Security","analyze","Seeker","Information Request","A:Intent clarification",43,"Uhm just put Australia in just use that","1"
"57","00:14:26.030","00:14:30.350","Airport Security","analyze","Intermediary","Discourse Management","B:Asks to repeat",44,"OK improvements to passenger and baggage security","1"
"58","00:14:30.380","00:14:31.540","Airport Security","analyze","Seeker","Information Request","A:Intent clarification",45,"Security screenings","1"
"59","00:14:31.710","00:14:43.070","Airport Security","analyze","Intermediary","Information Request","B:Query refinement offer",46,"Security screenings... uhm get rid of international get rid of uhm... Australia","1"
"60","00:14:43.400","00:14:44.240","Airport Security","analyze","Seeker","Discourse Management","A:Confirms",47,"Yeah","1"
"61","00:14:48.910","00:14:52.960","Airport Security","analyze","Intermediary","Results Presentation","B:SERP without modification",48,"Frequently asked questions security checks at airports uhm","1"
"62","00:14:52.990","00:14:55.610","Airport Security","analyze","Seeker","Navigation","A:Access source",49,"Okay go through go through that just see what the","1"
"63","00:14:56.310","00:14:59.440","Airport Security","analyze","Intermediary","Results Presentation","B:Source information",50,"So this is uhm this is Australia government","1"
"64","00:14:59.456","00:14:59.656","Airport Security","analyze","Seeker","Discourse Management","A:Confirms",51,"OK","1"
"65","00:14:59.680","00:15:20.520","Airport Security","analyze","Intermediary","Results Presentation","B:Scanning document without modification",52,"About infrastructure and this talks about general domestic screening procedures and general measures so the Australian passengers carry-on baggage uhm is very expensive, requiring screening for all flights could lead to some communities losing air services and it talks about highest security risk uhm","1"
"66","00:15:21.000","00:15:22.840","Airport Security","analyze","Seeker","Information Request","A:Information request within document",53,"Does it give you any numbers saying?","1"
"67","00:15:22.880","00:15:47.662","Airport Security","analyze","Intermediary","Results Presentation + Information Request","B:Within-Document search result + Asking what they are looking for",54,"Yeah so ninety-six percent of Australian domestic passengers in Australia depart from screened airports uhm... it doesn't give you any other statistics or numbers it then talks about cockpit doors training of police uhm reconciliation of passengers with their bags. I can go down and see if, is it statistics that you are looking for?","1"
"68","00:15:48.140","00:15:57.780","Airport Security","analyze","Seeker","Information Request + Information Request","A:Intent clarification + Information request within document",55,"Yeah some measure whether it's maybe effective or not can you just then, if there is no statistics there like that are really visible","1"
"69","00:15:58.280","00:16:00.300","Airport Security","analyze","Intermediary","Discourse Management","B:Confirms",56,"No no there isn't","1"
"70","00:16:00.480","00:16:07.180","Airport Security","analyze","Seeker","Information Request","A:Information request",57,"Can you just uhm type in how many people get caught at airport security checks","1"
"71","00:16:17.460","00:16:29.620","Airport Security","analyze","Intermediary","Discourse Management","B:Asks to repeat",58,"How many people get caught at airport security checks yeah?","1"
"72","00:16:29.600","00:16:30.280","Airport Security","analyze","Seeker","Discourse Management","A:Confirms",59,"Yeah","1"
"73","00:16:33.860","00:17:09.140","Airport Security","analyze","Intermediary","Visibility Of System Status + Results Presentation + Results Presentation","B:Previously seen results + SERP without modification + Interpretation biased towards information request or clarification given by the User",60,"Uhm frequently asked questions we're back to that one again uhm, screening occurs people who carry weapons uhm [long pause] Ten things not to do in an airport... TSA two thousand and four uhm review TSA has been busy screening more than sixty five million, top ten airports for gun catches in two thousand fourteen, this TSA blog looks like it has some statistics","1"
"74","00:17:09.240","00:17:12.440","Airport Security","analyze","Seeker","Information Request","A:Information request within SERP",61,"Does it say x number of people or anywhere it says uhm","1"
"75","00:17:16.020","00:17:18.020","Airport Security","analyze","Intermediary","Visibility Of System Status","B:Feedback on what is happening",62,"It may I will need to go into it","1"
"76","00:17:27.900","00:17:36.080","Outsource job India","understand","Seeker","Information Request","A:Initial information request",1,"What US jobs have been outsourced to India","1"
"77","00:17:50.160","00:17:52.720","Outsource job India","understand","Intermediary","Information Request","B:Query refinement offer",2,"Can I put uhm United States?","1"
"78","00:17:52.733","00:17:53.159","Outsource job India","understand","Seeker","Discourse Management","A:Confirms",3,"Yeah","1"
"79","00:18:00.880","00:18:39.760","Outsource job India","understand","Intermediary","Results Presentation","B:SERP without modification",4,"[inaudible segment] Uhm job outsourcing to india benefits outsourcing services home this is from outsource2india dot com uhm... being situated on the other side of the globe from North America India has the advantage of blahblahblah. why outsource to India a recent survey eighty percent of Europe and US outsourcing firms ranked India as their number [inaudible segment] there is a how to [inaudible segment] outsourcing jobs uhm affects the US economy","1"
"80","00:18:39.760","00:18:42.440","Outsource job India","understand","Seeker","Navigation","A:Access source",5,"Uhm OK can you put bring up that","1"
"81","00:18:42.960","00:18:45.200","Outsource job India","understand","Intermediary","Discourse Management","B:Checks navigational command",6,"This one? The outsourcing affects the US economy","1"
"82","00:18:45.220","00:18:46.260","Outsource job India","understand","Seeker","Discourse Management","A:Confirms",7,"Yeah","1"
"83","00:18:46.400","00:18:55.100","Outsource job India","understand","Intermediary","Results Presentation","B:Scanning document without modification",8,"Yeah so how outsourcing jobs affects the US economy this is about money from a US economy expert","1"
"84","00:18:55.220","00:19:07.660","Outsource job India","understand","Seeker","Information Request","A:Information request within document",9,"Alright if you go if if you scan through that does it have any thing uhm classification of what type of jobs are outsourced or what industries are outsourced","1"
"85","00:19:07.980","00:19:27.680","Outsource job India","understand","Intermediary","Results Presentation","B:Scanning document without modification + Asks to repeat",10,"There's a definition and then there's how it affects the economy and then it talks about Donald Trump uhm... call centre outsourcing human resources [inaudible segment] what was it again? What types of jobs","1"
"86","00:19:28.000","00:19:32.480","Outsource job India","understand","Seeker","Discourse Management","A:Confirms",11,"Yes, what industry, you mentioned telecommunications","1"
"87","00:19:33.020","00:20:06.440","Outsource job India","understand","Intermediary","Results Presentation + Search Assistance","B:Scanning document without modification + Relevance judgement",12,"So uhm here it talks about call centres outsourcing uhm... then it talks about human resources outsourcing uhm... there is a lot on health benefits conversation uhm [long pause] I don't see how some of these are relevant... is Mexico stealing US jobs","1"
"88","00:20:06.620","00:20:20.120","Outsource job India","understand","Seeker","Information Request","A:Information request",13,"Can you put in uhm type in top as in TOP industries outsourced to India or top USA industries outsourced to India","1"
"89","00:20:34.880","00:20:37.160","Outsource job India","understand","Intermediary","Discourse Management","B:Repeats the query back",14,"So top USA industries outsourced to India","1"
"90","00:20:37.350","00:20:37.810","Outsource job India","understand","Seeker","Discourse Management","A:Confirms",15,"Hmm","1"
"91","00:20:38.640","00:21:01.380","Outsource job India","understand","Intermediary","Results Presentation","B:SERP without modification",16,"Uhm which countries are more included to outsource versus shared... there are just a few major industries, huge political bodies, such as the US navy, NASA, the UK Inland Revenue so [inaudible segment] this this talks about","1"
"92","00:21:01.660","00:21:05.100","Outsource job India","understand","Seeker","Navigation","A:Access source",17,"Okay what's in it open that article or site","1"
"93","00:21:05.360","00:21:33.320","Outsource job India","understand","Intermediary","Results Presentation","B:Scanning document with modification",18,"It's called horses for courses nah horses for sources, which industries are more inclined to outsource versus shared services, our recent state of, so it is research, they have done research that covers... home-truths about why organisations are more motivated to externalise their support operations to third-parties","1"
"94","00:21:33.600","00:21:35.220","Outsource job India","understand","Seeker","Search Progression","A:Rejects",19,"Nah nah that's not what I want to find out","1"
"95","00:21:35.320","00:21:54.740","Outsource job India","understand","Intermediary","Results Presentation + Information Request","B:Scanning document without modification + Asking what they are looking for",20,"Here it has some statistics, industries going through change more focused on outsourcing than shared services, so here is what all different industries so entertainment, media, publishing, software and hi-tech, energy, chemicals, banking, finance. Is there one particular industry you're looking for?","1"
"96","00:21:54.840","00:22:02.740","Outsource job India","understand","Seeker","Information Request","A:Intent clarification",21,"Uhm just go in and look at uhm, no, no there's no industry I'm just looking for jobs but I'm trying to gage it, just say","1"
"97","00:22:02.840","00:22:17.760","Outsource job India","understand","Intermediary","Results Presentation","B:Scanning document with modification",22,"So I can't go into any of these but what it does it has uhm a graph and it has outsourcing and shared services and it just gives you a percentage within those industries","1"
"98","00:22:17.850","00:22:23.410","Outsource job India","understand","Seeker","Information Request","A:Information request within document",23,"What's the industry with the highest percentage of outsourcing","1"
"99","00:22:23.490","00:22:27.970","Outsource job India","understand","Intermediary","Results Presentation","B:Within-Document search result",24,"It is entertaini entertainment, media and publishing","1"
"100","00:22:28.310","00:22:38.810","Outsource job India","understand","Seeker","Information Request","A:Information request",25,"Can you put uhm, entertainment, media and publishing jobs comma USA outsourced to India","1"
"101","00:22:42.190","00:23:14.180","Outsource job India","understand","Intermediary","Discourse Management","B:Asks to repeat",26,"What was it, media entertainment uhm... media entertainment publishing and publishing jobs... jobs outsourced to India. Does it have to be US media publishing?","1"
"102","00:23:14.242","00:23:16.740","Outsource job India","understand","Seeker","Information Request","A:Query embellishment",27,"Yes so put USA in somewhere","1"
"103","00:23:20.960","00:23:46.400","Outsource job India","understand","Intermediary","Results Presentation + Results Presentation","B:SERP without modification + Interpretation",28,"OK, major US media outlet outsourcing IT jobs to India this is the economictimes dot indiatimes dot com, major US media outlet outsourcing IT jobs to India it's published in two thousand sixteen so it's recent uhm then there is now outsourcing of media publishing work times of India that's back two thousand and four","1"
"104","00:23:46.700","00:23:49.660","Outsource job India","understand","Seeker","Navigation","A:Access source",29,"Can you just go in two thousand sixteen article","1"
"105","00:24:00.160","00:24:21.240","Outsource job India","understand","Intermediary","Results Presentation","B:Scanning document without modification",30,"US media outlet outsourcing IT jobs to India this is a report uhm Washington major American company which owns prestigious uhm dailies like Los Angeles Times and Chicago Tribune will outsource a part of its IT component to Indian software","1"
"106","00:24:21.480","00:24:26.080","Outsource job India","understand","Seeker","Information Request","A:Information request within document",31,"Does it go, does it give you any numbers or statistics?","1"
"107","00:24:26.240","00:24:50.240","Outsource job India","understand","Intermediary","Results Presentation","B:Within-Document search result",32,"Yeah it says BSE minus two point two nine percent, I don't know what that means though uhm and so there's a few other statistics with BSE thingymajig uhm and then it's got like related companies down a bit further TCS Tata consultants I think and that's got","1"
"108","00:24:50.580","00:25:02.340","Outsource job India","understand","Seeker","Information Request","A:Definition lookup or Person",33,"Can you look up somehow click on that page but also uhm maybe seperate window just to get a definition of BSE","1"
"109","00:25:24.880","00:25:41.900","Outsource job India","understand","Intermediary","Results Presentation + Results Presentation","B:Within-Document search result + Interpretation",34,"It says ET markets and it has markets news portfolio different little icon to click on it has Tata consultancy servicesLTD it looks like it is talking about market share so it's you know... got a graph","1"
"110","00:25:42.120","00:25:45.120","Outsource job India","understand","Seeker","Grounding","A:Interpretation",35,"Ah so BSE is a company is that what you are","1"
"111","00:25:47.200","00:26:00.640","Outsource job India","understand","Intermediary","Results Presentation + Results Presentation","B:Within-Document search result + Interpretation",36,"It may hmmm I don't know but it's it's it's got statistics like you know what you see with shares and it's got sell buy sell","1"
"112","00:26:00.700","00:26:07.440","Outsource job India","understand","Seeker","Grounding","A:Interpretation",37,"Oh OK yeah so BSE I think that minus two point nine was uhm the drop in share price or whatever","1"
"113","00:26:07.840","00:26:14.120","Outsource job India","understand","Intermediary","Search Assistance","B:Relevance judgement",38,"So that is not what you are after and this tends to look like the whole page actually","1"
"114","00:26:14.500","00:26:18.460","Outsource job India","understand","Seeker","Discourse Management","A:Confirms",39,"Just let let's ignore that and uhm","1"
"115","00:26:18.540","00:26:19.380","Outsource job India","understand","Intermediary","Discourse Management","B:Checks navigational command",40,"So go back?","1"
"116","00:26:19.720","00:26:20.660","Outsource job India","understand","Seeker","Discourse Management","A:Confirms",41,"Yeah","1"
"117","00:26:38.960","00:26:41.560","Outsource job India","understand","Intermediary","Results Presentation","B:SERP without modification",42,"Uhm so if we go down a bit further US major media outlet outsourcing this is the deccanherald dot com major American company which owns prestigious","1"
"118","00:00:14.600","00:01:18.600","recycle, automobile tires","understand","Seeker","Information Request","A:Initial information request",1,"Uses for old car then the query or, passenger vehicle tyres TYRES or in caps tires TIRES... and I wanna uhm do a date range so the data is from the most recent twelve months, so uses for old car caps or passenger vehicle or tyres TYRES caps or tires TIRES and data in the last twelve months that's the query","2"
"119","00:01:19.200","00:02:27.400","recycle, automobile tires","understand","Intermediary","Results Presentation","B:SERP without modification",2,"So far from the last twelve months I first result is second hand tyres in Sydney uhm from a wreckers the second result is to compare tyres from drive dot com dot au uhm the third result is uhm another wreckers in Brisbane uhm used tyres in Frankston is the fourth result, wheel and rim profiles of passenger cars tyre size calculator uhm, then there is the car bible uhm wheel and tyre bible which looks like it is everything you need to know about wheels and tyres from car uhm the next one is Beaurepaires so an other tyres sales place uhm one used car pick the tyres uhm what damage does a car suffer if it's not regularly used on a forum and then the last result is Bridgestone pricing","2"
"120","00:02:28.450","00:03:17.850","recycle, automobile tires","understand","Seeker","Information Request","A:Query embellishment",3,"So we need to change to something uhm... if we... uhm... let's say [long pause] if we change the search query to uhm... recycled and can we have that in uhm inverted commas so it say it must be in the uhm... in whatever is returned recycled and then car caps or passenger vehicle tire two different versions of tyres","2"
"121","00:03:17.900","00:03:29.400","recycle, automobile tires","understand","Intermediary","Discourse Management","B:Asks to repeat",4,"So uhm... where it's uses for old car tires uhm old car or passenger vehicle uhm where would you like recycled [inaudible segment]","2"
"122","00:03:29.600","00:03:54.100","recycle, automobile tires","understand","Seeker","Information Request","A:Query embellishment",5,"So if we replace uhm uses for old, with the word recycled in inverted commas, thank you uhm so it would then be recycled car or passenger vehicle tyres tires and then at the end of this we have the word use","2"
"123","00:03:57.080","00:03:59.160","recycle, automobile tires","understand","Intermediary","Discourse Management","B:Confirms",6,"OK uhm","2"
"124","00:03:59.520","00:04:01.460","recycle, automobile tires","understand","Seeker","Other","A:Asks if allowed to query embellish",7,"Actually can I add something else to that?","2"
"125","00:04:01.530","00:04:02.350","recycle, automobile tires","understand","Intermediary","Discourse Management","B:Confirms",8,"Yeah sure","2"
"126","00:04:02.690","00:04:17.860","recycle, automobile tires","understand","Seeker","Information Request","A:Query embellishment",9,"Can we have not in caps wreckers and not sales actually just not wreckers first and let's see if we can use one of them","2"
"127","00:04:21.700","00:04:39.880","recycle, automobile tires","understand","Intermediary","Results Presentation","B:SERP with modification",10,"OK, with the not wreckers in the search we actually get a whole lot of wreckers yes... so the first five or six results all are for wreckers","2"
"128","00:04:40.000","00:04:48.840","recycle, automobile tires","understand","Seeker","Information Request","A:Query embellishment",11,"Surely we should not be getting wreckers though we have not... uhm maybe just remove the word wreckers","2"
"129","00:04:50.000","00:06:35.500","recycle, automobile tires","understand","Intermediary","Results Presentation","B:SERP without modification",12,"Right now the first result is uhm has the heading committed to recycling used tyres Kmart Tyre and auto service, the second result is twelve amazing things you can make with recycled tyres from tyreright dot com dot au uhm, then the third one is a pintrest page, thirty amazing ideas to reuse and recycle old car tyres and the fourth result is also pintrest DIY car tyres on Pinterest old tyres, old cars and recycled tyres then there is a Youtube video how to make recycled scrap rubber and recycling ideas and then the next result Ecoflex International uhm, Ecoflex International is committed to the development of engineering products using recycled truck and car tyres uhm and then there is a website called the daily agenda and their subject line is wheels on their feet these catholic monks make shoes from old car tyres uhm then there is Timberland Tires uhm, when the tread wears out the tire lives in recycled, organic and renewable rubber and then there is wrenchapar dot com recycle a vehicle what happens to tires when car frames are recycled and then the last result on page one is more recycled car tyres reviews and profiles the Daily Monitor","2"
"130","00:06:35.620","00:06:37.220","recycle, automobile tires","understand","Seeker","Discourse Management","A:Asks to repeat first search result",13,"So what was that last one?","2"
"131","00:06:37.400","00:07:00.440","recycle, automobile tires","understand","Intermediary","Results Presentation","B:SERP with modification",14,"Uhm more than just recycled car tyres it's from a website called the Monitor I don't think it's an Australian site uhm it's it sounds like it's a uhm article about a specific person using tools and cutters and hammers to make products out of recycled car tyres-","2"
"132","00:07:00.840","00:07:17.720","recycle, automobile tires","understand","Seeker","Search Progression + Discourse Management","A:Performance feedback + Asks to repeat first search result",15,"That's not too bad we started to get a picture of some of the things it's used for uhm... what was you mentioned Timberland Tyres and then there was another one after that what was the one after Timberlands Tyres","2"
"133","00:07:17.780","00:07:23.540","recycle, automobile tires","understand","Intermediary","Results Presentation","B:SERP without modification",16,"Uhm recycling a vehicle what happens to the tyres when car frames are recycled","2"
"134","00:07:25.360","00:07:28.760","recycle, automobile tires","understand","Seeker","Other","A:Access source (implicit)",17,"That would be one I would look at","2"
"135","00:07:29.120","00:07:31.760","recycle, automobile tires","understand","Intermediary","Discourse Management","B:Checks navigational command",18,"So do you want me to open that in a new tab?","2"
