Start.time,Stop.time,Query,Query.complexity,Role,Action,Transcript,Query.counter,File.name
04:46.0,05:00.7,Where does cinnamon come from?,remember,A_User,A:Access source + Information request within document,Does it does the on that site or piece of information does it say cinnamon that we get cinnamon from Sri Lanka or or does it tell me anything about cinnamon produce,11,2 - 1 June - 9.30am - Synchronized Clip.txt
05:02.7,05:47.1,Where does cinnamon come from?,remember,B_Receiver,B:SERP without modification + Scanning document with modification,"The first one talks about traditional Dutch cinnamon cookies but it doesn't talk about uhm, where cinnamon is actually coming from uhm, Biscoff, European coffee cinnamon and spices I a clicking I am just going in and having a look at some... so this one again is a it is a type of you know manufacturer this is Biscoff and it is, it's like you know as I said Arnotts, it talks about having to do with stuff like, but it doesn't actually",12,2 - 1 June - 9.30am - Synchronized Clip.txt
06:24.0,06:25.3,Where does cinnamon come from?,remember,A_User,A:Information request within document,"Do you, does it have uhm, like a name for one of the biscuits like, you know we have Anzac biscuits and so forth does it say the name of a cinnamon biscuit the Belgian cinnamon biscuits or something",13,2 - 1 June - 9.30am - Synchronized Clip.txt
06:34.3,06:47.6,Airport Security,analyze,A_User,A:Initial information request,"Can you type in uhm, effective effectiveness of new security measures at airports?",1,2 - 1 June - 9.30am - Synchronized Clip.txt
06:58.0,07:02.8,Airport Security,analyze,B_Receiver,B:Query refinement offer,Australia or is it just airports?,2,2 - 1 June - 9.30am - Synchronized Clip.txt
07:02.9,07:08.2,Airport Security,analyze,A_User,A:Intent clarification,Put uhm international international airports,3,2 - 1 June - 9.30am - Synchronized Clip.txt
07:19.6,07:34.0,Airport Security,analyze,B_Receiver,B:SERP without modification + Interpretation,OK the first one that comes up is airport security measures aren't good enough here's a fix uhm it doesn't say who it's by looks like seems to be an article two thousand and fourteen so it is not that recent,4,2 - 1 June - 9.30am - Synchronized Clip.txt
07:34.0,07:37.1,Airport Security,analyze,A_User,A:Info about document,"Does it, is it from a newspaper or is it from a",5,2 - 1 June - 9.30am - Synchronized Clip.txt
07:37.5,07:43.5,Airport Security,analyze,B_Receiver,B:Source information + Interpretation,"It is theconversation dot com so uhm, so it may be or may be a blog",6,2 - 1 June - 9.30am - Synchronized Clip.txt
07:43.6,07:45.1,Airport Security,analyze,A_User,A:Confirms,OK,7,2 - 1 June - 9.30am - Synchronized Clip.txt
07:45.4,08:03.5,Airport Security,analyze,B_Receiver,B:SERP without modification + Interpretation,"TSA guidelines for passengers on new security that's east Texas airpark, there's airport security Wikipedia, there's the debate over airport security uhm that seems to be from an organisation called the CFR uhm",8,2 - 1 June - 9.30am - Synchronized Clip.txt
08:03.5,08:07.8,Airport Security,analyze,A_User,A:Access source,Can you just look at the CFR website,9,2 - 1 June - 9.30am - Synchronized Clip.txt
08:07.9,08:10.3,Airport Security,analyze,B_Receiver,B:Source information,This is a two thousand and ten so,10,2 - 1 June - 9.30am - Synchronized Clip.txt
08:11.3,08:14.5,Airport Security,analyze,A_User,A:Rejects,OK try and yeah OK forget that one,11,2 - 1 June - 9.30am - Synchronized Clip.txt
08:14.5,08:14.8,Airport Security,analyze,B_Receiver,B:Confirms,OK,12,2 - 1 June - 9.30am - Synchronized Clip.txt
08:19.2,08:22.0,Airport Security,analyze,A_User,A:Information request within SERP,What's the fourth article?,13,2 - 1 June - 9.30am - Synchronized Clip.txt
08:22.6,08:24.2,Airport Security,analyze,B_Receiver,B:Wayfinding,That was the fourth,14,2 - 1 June - 9.30am - Synchronized Clip.txt
08:24.2,08:25.7,Airport Security,analyze,A_User,A:Next,What is the one next to,15,2 - 1 June - 9.30am - Synchronized Clip.txt
08:26.7,08:41.0,Airport Security,analyze,B_Receiver,B:SERP with modification + Interpretation,"The next one is the impact of nine eleven so that's from two thousand and seven, so a lot of these tend to be quite old, two thousand and thirteen, two thousand and ten are you wanting anything newer?",16,2 - 1 June - 9.30am - Synchronized Clip.txt
08:41.1,08:47.0,Airport Security,analyze,A_User,A:Information request,"Ah uhm, new security measures after Brussels bombing",17,2 - 1 June - 9.30am - Synchronized Clip.txt
08:47.1,08:52.1,Airport Security,analyze,B_Receiver,B:Query refinement offer,OK effectiveness of new security measures at international airports... just add it,18,2 - 1 June - 9.30am - Synchronized Clip.txt
08:52.1,08:53.8,Airport Security,analyze,A_User,A:Confirms,Yes yes,19,2 - 1 June - 9.30am - Synchronized Clip.txt
09:00.3,09:26.8,Airport Security,analyze,B_Receiver,B:SERP without modification,"Okay so in Brussels airport bombing brings new security measures in the US that is two thousand and sixteen, so that's much better April nine uhm, we've got March two thousand and sixteen, Brussels attacks how airport bombings will change it is probably the air what security that's news dot com, Washington post was the first uhm article",20,2 - 1 June - 9.30am - Synchronized Clip.txt
09:26.9,09:29.8,Airport Security,analyze,A_User,A:Access source,Can you just look at the news dot com,21,2 - 1 June - 9.30am - Synchronized Clip.txt
09:29.9,10:23.0,Airport Security,analyze,B_Receiver,B:Wayfinding + Scanning document without modification + Interpretation of photos,"Yep that's the second one that's the Brussels attacks how airport bombings will change air [inaudible segment] [long pause] OK how attacks at Zaventem Zaventem airport in Brussels will change air travel uhm. It is just a picture of the, I think he is the mastermind uhm, it's, there's windows shattered at the airport and then Australian airports have consulted federal police following the shocking attacks on Brussels Airport uhm, it talks about that Australia's National University Counter-terrorism [inaudible segment]",22,2 - 1 June - 9.30am - Synchronized Clip.txt
10:24.4,10:25.9,Airport Security,analyze,A_User,A:Information request within document,What are the countermeasures?,23,2 - 1 June - 9.30am - Synchronized Clip.txt
10:26.3,11:22.1,Airport Security,analyze,B_Receiver,B:Within-Document search result + Interpretation,"Experts, he says most likely this week's arrest of Paris [inaudible segment] Obviously there is a ripple effect on aviation when an airport closes down airports will be looking at their own security it doesn't uhm... go into what you need, airlines were pointedly avoiding airspace over Brussels Australia's Department says they've changed the advice to travelling to a high degree of caution uhm [long pause] so there's a few airports that have screening before you get to the airport so it talks about Tokyo, Israel uhm, are two that spring to mind",24,2 - 1 June - 9.30am - Synchronized Clip.txt
11:22.4,11:42.6,Airport Security,analyze,A_User,A:Information request,So uhm can you go and change the search question to effectiveness of uhm... passenger and baggage screenings at airport,25,2 - 1 June - 9.30am - Synchronized Clip.txt
11:47.4,11:49.1,Airport Security,analyze,B_Receiver,B:Asks to repeat,Passenger and,26,2 - 1 June - 9.30am - Synchronized Clip.txt
11:49.4,11:50.9,Airport Security,analyze,A_User,A:Query repeat,Baggage,27,2 - 1 June - 9.30am - Synchronized Clip.txt
11:57.9,12:02.2,Airport Security,analyze,B_Receiver,B:Query refinement offer,"So get rid of uhm, security measures",28,2 - 1 June - 9.30am - Synchronized Clip.txt
12:02.8,12:07.4,Airport Security,analyze,A_User,A:Rejects,Uhm leave security measures,29,2 - 1 June - 9.30am - Synchronized Clip.txt
12:07.9,12:15.2,Airport Security,analyze,B_Receiver,B:Query refinement offer,"And international, international airports brussels bombing, do we want to keep all of that?",30,2 - 1 June - 9.30am - Synchronized Clip.txt
12:15.3,12:16.9,Airport Security,analyze,A_User,A:Intent clarification,No take out Brussels bombing,31,2 - 1 June - 9.30am - Synchronized Clip.txt
12:23.8,12:28.5,Airport Security,analyze,B_Receiver,B:SERP without modification,OK and we have Wikipedia airport security,32,2 - 1 June - 9.30am - Synchronized Clip.txt
12:28.7,12:32.6,Airport Security,analyze,A_User,A:Access source,What does it say uhm just open Wikipedia,33,2 - 1 June - 9.30am - Synchronized Clip.txt
12:33.6,12:37.7,Airport Security,analyze,B_Receiver,B:Scanning document without modification,Airport security refers to techniques and methods,34,2 - 1 June - 9.30am - Synchronized Clip.txt
12:38.2,12:46.9,Airport Security,analyze,A_User,A:Information request within document,"Does it, is there any uhm sort of heading or subheading on uhm, effectiveness or",35,2 - 1 June - 9.30am - Synchronized Clip.txt
12:47.5,13:16.5,Airport Security,analyze,B_Receiver,B:Within-Document search result,"Yeah, there is a description of of what is going on there's airport enforcement authorities like police and everyone who's blahbahblah process and equipment uhm, notable incidents, airport security by country and it just goes Canada Europe France Ireland no Iceland Netherlands Spain Sweden UK [inaudible segment] Israel Singapore",36,2 - 1 June - 9.30am - Synchronized Clip.txt
13:16.7,13:22.0,Airport Security,analyze,A_User,A:Information request within document,What's it say on France for example?,37,2 - 1 June - 9.30am - Synchronized Clip.txt
13:22.3,13:55.2,Airport Security,analyze,B_Receiver,B:Scanning document without modification,France French security has been stepped up since terrorist attacks in France in nineteen eighty-six. That's a bit old. In response France established the Vigipirate program. The program uses troops to reinforce local security and increases requirements in screenings and ID checks. Since nineteen ninety-six security check-points have transferred from the Police Nationale uhm Gendarmerie to private companies hired by the airport authorities,38,2 - 1 June - 9.30am - Synchronized Clip.txt
13:56.0,14:08.6,Airport Security,analyze,A_User,A:Information request,Okay uhm... oh god... can you just then type in uhm... improvements to,39,2 - 1 June - 9.30am - Synchronized Clip.txt
14:08.7,14:11.4,Airport Security,analyze,B_Receiver,B:Query refinement offer,So instead of effectiveness just improvements?,40,2 - 1 June - 9.30am - Synchronized Clip.txt
14:11.6,14:21.3,Airport Security,analyze,A_User,A:Information request,Yeah well maybe start a new search improvements to uhm... passenger and baggage airport security,41,2 - 1 June - 9.30am - Synchronized Clip.txt
14:21.4,14:23.6,Airport Security,analyze,B_Receiver,B:Query refinement offer,OK is there a particular country that you're after?,42,2 - 1 June - 9.30am - Synchronized Clip.txt
14:23.7,14:25.9,Airport Security,analyze,A_User,A:Intent clarification,Uhm just put Australia in just use that,43,2 - 1 June - 9.30am - Synchronized Clip.txt
14:26.0,14:30.3,Airport Security,analyze,B_Receiver,B:Asks to repeat,OK improvements to passenger and baggage security,44,2 - 1 June - 9.30am - Synchronized Clip.txt
14:30.4,14:31.5,Airport Security,analyze,A_User,A:Intent clarification,Security screenings,45,2 - 1 June - 9.30am - Synchronized Clip.txt
14:31.7,14:43.1,Airport Security,analyze,B_Receiver,B:Query refinement offer,Security screenings... uhm get rid of international get rid of uhm... Australia,46,2 - 1 June - 9.30am - Synchronized Clip.txt
14:43.4,14:44.2,Airport Security,analyze,A_User,A:Confirms,Yeah,47,2 - 1 June - 9.30am - Synchronized Clip.txt
14:48.9,14:53.0,Airport Security,analyze,B_Receiver,B:SERP without modification,Frequently asked questions security checks at airports uhm,48,2 - 1 June - 9.30am - Synchronized Clip.txt
14:53.0,14:55.6,Airport Security,analyze,A_User,A:Access source,Okay go through go through that just see what the,49,2 - 1 June - 9.30am - Synchronized Clip.txt
14:56.3,14:59.4,Airport Security,analyze,B_Receiver,B:Source information,So this is uhm this is Australia government,50,2 - 1 June - 9.30am - Synchronized Clip.txt
14:59.5,14:59.7,Airport Security,analyze,A_User,A:Confirms,OK,51,2 - 1 June - 9.30am - Synchronized Clip.txt
14:59.7,15:20.5,Airport Security,analyze,B_Receiver,B:Scanning document without modification,"About infrastructure and this talks about general domestic screening procedures and general measures so the Australian passengers carry-on baggage uhm is very expensive, requiring screening for all flights could lead to some communities losing air services and it talks about highest security risk uhm",52,2 - 1 June - 9.30am - Synchronized Clip.txt
15:21.0,15:22.8,Airport Security,analyze,A_User,A:Information request within document,Does it give you any numbers saying?,53,2 - 1 June - 9.30am - Synchronized Clip.txt
15:22.9,15:47.7,Airport Security,analyze,B_Receiver,B:Within-Document search result + Asking what they are looking for,"Yeah so ninety-six percent of Australian domestic passengers in Australia depart from screened airports uhm... it doesn't give you any other statistics or numbers it then talks about cockpit doors training of police uhm reconciliation of passengers with their bags. I can go down and see if, is it statistics that you are looking for?",54,2 - 1 June - 9.30am - Synchronized Clip.txt
15:48.1,15:57.8,Airport Security,analyze,A_User,A:Intent clarification + Information request within document,"Yeah some measure whether it's maybe effective or not can you just then, if there is no statistics there like that are really visible",55,2 - 1 June - 9.30am - Synchronized Clip.txt
15:58.3,16:00.3,Airport Security,analyze,B_Receiver,B:Confirms,No no there isn't,56,2 - 1 June - 9.30am - Synchronized Clip.txt
16:00.5,16:07.2,Airport Security,analyze,A_User,A:Information request,Can you just uhm type in how many people get caught at airport security checks,57,2 - 1 June - 9.30am - Synchronized Clip.txt
16:17.5,16:29.6,Airport Security,analyze,B_Receiver,B:Asks to repeat,How many people get caught at airport security checks yeah?,58,2 - 1 June - 9.30am - Synchronized Clip.txt
16:29.6,16:30.3,Airport Security,analyze,A_User,A:Confirms,Yeah,59,2 - 1 June - 9.30am - Synchronized Clip.txt
16:33.9,17:09.1,Airport Security,analyze,B_Receiver,B:Previously seen results + SERP without modification + Interpretation biased towards information request or clarification given by the User,"Uhm frequently asked questions we're back to that one again uhm, screening occurs people who carry weapons uhm [long pause] Ten things not to do in an airport... TSA two thousand and four uhm review TSA has been busy screening more than sixty five million, top ten airports for gun catches in two thousand fourteen, this TSA blog looks like it has some statistics",60,2 - 1 June - 9.30am - Synchronized Clip.txt
17:09.2,17:12.4,Airport Security,analyze,A_User,A:Information request within SERP,Does it say x number of people or anywhere it says uhm,61,2 - 1 June - 9.30am - Synchronized Clip.txt
17:16.0,17:18.0,Airport Security,analyze,B_Receiver,B:Feedback on what is happening,It may I will need to go into it,62,2 - 1 June - 9.30am - Synchronized Clip.txt
17:27.9,17:36.1,Outsource job India,understand,A_User,A:Initial information request,What US jobs have been outsourced to India,1,2 - 1 June - 9.30am - Synchronized Clip.txt
17:50.2,17:52.7,Outsource job India,understand,B_Receiver,B:Query refinement offer,Can I put uhm United States?,2,2 - 1 June - 9.30am - Synchronized Clip.txt
17:52.7,17:53.2,Outsource job India,understand,A_User,A:Confirms,Yeah,3,2 - 1 June - 9.30am - Synchronized Clip.txt
18:00.9,18:39.8,Outsource job India,understand,B_Receiver,B:SERP without modification,[inaudible segment] Uhm job outsourcing to india benefits outsourcing services home this is from outsource2india dot com uhm... being situated on the other side of the globe from North America India has the advantage of blahblahblah. why outsource to India a recent survey eighty percent of Europe and US outsourcing firms ranked India as their number [inaudible segment] there is a how to [inaudible segment] outsourcing jobs uhm affects the US economy,4,2 - 1 June - 9.30am - Synchronized Clip.txt
18:39.8,18:42.4,Outsource job India,understand,A_User,A:Access source,Uhm OK can you put bring up that,5,2 - 1 June - 9.30am - Synchronized Clip.txt
18:43.0,18:45.2,Outsource job India,understand,B_Receiver,B:Checks navigational command,This one? The outsourcing affects the US economy,6,2 - 1 June - 9.30am - Synchronized Clip.txt
18:45.2,18:46.3,Outsource job India,understand,A_User,A:Confirms,Yeah,7,2 - 1 June - 9.30am - Synchronized Clip.txt
18:46.4,18:55.1,Outsource job India,understand,B_Receiver,B:Scanning document without modification,Yeah so how outsourcing jobs affects the US economy this is about money from a US economy expert,8,2 - 1 June - 9.30am - Synchronized Clip.txt
18:55.2,19:07.7,Outsource job India,understand,A_User,A:Information request within document,Alright if you go if if you scan through that does it have any thing uhm classification of what type of jobs are outsourced or what industries are outsourced,9,2 - 1 June - 9.30am - Synchronized Clip.txt
19:08.0,19:27.7,Outsource job India,understand,B_Receiver,B:Scanning document without modification + Asks to repeat,There's a definition and then there's how it affects the economy and then it talks about Donald Trump uhm... call centre outsourcing human resources [inaudible segment] what was it again? What types of jobs,10,2 - 1 June - 9.30am - Synchronized Clip.txt
19:28.0,19:32.5,Outsource job India,understand,A_User,A:Confirms,"Yes, what industry, you mentioned telecommunications",11,2 - 1 June - 9.30am - Synchronized Clip.txt
19:33.0,20:06.4,Outsource job India,understand,B_Receiver,B:Scanning document without modification + Relevance judgement,So uhm here it talks about call centres outsourcing uhm... then it talks about human resources outsourcing uhm... there is a lot on health benefits conversation uhm [long pause] I don't see how some of these are relevant... is Mexico stealing US jobs,12,2 - 1 June - 9.30am - Synchronized Clip.txt
20:06.6,20:20.1,Outsource job India,understand,A_User,A:Information request,Can you put in uhm type in top as in TOP industries outsourced to India or top USA industries outsourced to India,13,2 - 1 June - 9.30am - Synchronized Clip.txt
20:34.9,20:37.2,Outsource job India,understand,B_Receiver,B:Repeats the query back,So top USA industries outsourced to India,14,2 - 1 June - 9.30am - Synchronized Clip.txt
20:37.4,20:37.8,Outsource job India,understand,A_User,A:Confirms,Hmm,15,2 - 1 June - 9.30am - Synchronized Clip.txt
20:38.6,21:01.4,Outsource job India,understand,B_Receiver,B:SERP without modification,"Uhm which countries are more included to outsource versus shared... there are just a few major industries, huge political bodies, such as the US navy, NASA, the UK Inland Revenue so [inaudible segment] this this talks about",16,2 - 1 June - 9.30am - Synchronized Clip.txt
21:01.7,21:05.1,Outsource job India,understand,A_User,A:Access source,Okay what's in it open that article or site,17,2 - 1 June - 9.30am - Synchronized Clip.txt
21:05.4,21:33.3,Outsource job India,understand,B_Receiver,B:Scanning document with modification,"It's called horses for courses nah horses for sources, which industries are more inclined to outsource versus shared services, our recent state of, so it is research, they have done research that covers... home-truths about why organisations are more motivated to externalise their support operations to third-parties",18,2 - 1 June - 9.30am - Synchronized Clip.txt
21:33.6,21:35.2,Outsource job India,understand,A_User,A:Rejects,Nah nah that's not what I want to find out,19,2 - 1 June - 9.30am - Synchronized Clip.txt
21:35.3,21:54.7,Outsource job India,understand,B_Receiver,B:Scanning document without modification + Asking what they are looking for,"Here it has some statistics, industries going through change more focused on outsourcing than shared services, so here is what all different industries so entertainment, media, publishing, software and hi-tech, energy, chemicals, banking, finance. Is there one particular industry you're looking for?",20,2 - 1 June - 9.30am - Synchronized Clip.txt
21:54.8,22:02.7,Outsource job India,understand,A_User,A:Intent clarification,"Uhm just go in and look at uhm, no, no there's no industry I'm just looking for jobs but I'm trying to gage it, just say",21,2 - 1 June - 9.30am - Synchronized Clip.txt
22:02.8,22:17.8,Outsource job India,understand,B_Receiver,B:Scanning document with modification,So I can't go into any of these but what it does it has uhm a graph and it has outsourcing and shared services and it just gives you a percentage within those industries,22,2 - 1 June - 9.30am - Synchronized Clip.txt
22:17.9,22:23.4,Outsource job India,understand,A_User,A:Information request within document,What's the industry with the highest percentage of outsourcing,23,2 - 1 June - 9.30am - Synchronized Clip.txt
22:23.5,22:28.0,Outsource job India,understand,B_Receiver,B:Within-Document search result,"It is entertaini entertainment, media and publishing",24,2 - 1 June - 9.30am - Synchronized Clip.txt
22:28.3,22:38.8,Outsource job India,understand,A_User,A:Information request,"Can you put uhm, entertainment, media and publishing jobs comma USA outsourced to India",25,2 - 1 June - 9.30am - Synchronized Clip.txt
22:42.2,23:14.2,Outsource job India,understand,B_Receiver,B:Asks to repeat,"What was it, media entertainment uhm... media entertainment publishing and publishing jobs... jobs outsourced to India. Does it have to be US media publishing?",26,2 - 1 June - 9.30am - Synchronized Clip.txt
23:14.2,23:16.7,Outsource job India,understand,A_User,A:Query embellishment,Yes so put USA in somewhere,27,2 - 1 June - 9.30am - Synchronized Clip.txt
23:21.0,23:46.4,Outsource job India,understand,B_Receiver,B:SERP without modification + Interpretation,"OK, major US media outlet outsourcing IT jobs to India this is the economictimes dot indiatimes dot com, major US media outlet outsourcing IT jobs to India it's published in two thousand sixteen so it's recent uhm then there is now outsourcing of media publishing work times of India that's back two thousand and four",28,2 - 1 June - 9.30am - Synchronized Clip.txt
23:46.7,23:49.7,Outsource job India,understand,A_User,A:Access source,Can you just go in two thousand sixteen article,29,2 - 1 June - 9.30am - Synchronized Clip.txt
24:00.2,24:21.2,Outsource job India,understand,B_Receiver,B:Scanning document without modification,US media outlet outsourcing IT jobs to India this is a report uhm Washington major American company which owns prestigious uhm dailies like Los Angeles Times and Chicago Tribune will outsource a part of its IT component to Indian software,30,2 - 1 June - 9.30am - Synchronized Clip.txt
24:21.5,24:26.1,Outsource job India,understand,A_User,A:Information request within document,"Does it go, does it give you any numbers or statistics?",31,2 - 1 June - 9.30am - Synchronized Clip.txt
24:26.2,24:50.2,Outsource job India,understand,B_Receiver,B:Within-Document search result,"Yeah it says BSE minus two point two nine percent, I don't know what that means though uhm and so there's a few other statistics with BSE thingymajig uhm and then it's got like related companies down a bit further TCS Tata consultants I think and that's got",32,2 - 1 June - 9.30am - Synchronized Clip.txt
24:50.6,25:02.3,Outsource job India,understand,A_User,A:Definition lookup or Person,Can you look up somehow click on that page but also uhm maybe seperate window just to get a definition of BSE,33,2 - 1 June - 9.30am - Synchronized Clip.txt
25:24.9,25:41.9,Outsource job India,understand,B_Receiver,B:Within-Document search result + Interpretation,It says ET markets and it has markets news portfolio different little icon to click on it has Tata consultancy servicesLTD it looks like it is talking about market share so it's you know... got a graph,34,2 - 1 June - 9.30am - Synchronized Clip.txt
25:42.1,25:45.1,Outsource job India,understand,A_User,A:Interpretation,Ah so BSE is a company is that what you are,35,2 - 1 June - 9.30am - Synchronized Clip.txt
25:47.2,26:00.6,Outsource job India,understand,B_Receiver,B:Within-Document search result + Interpretation,It may hmmm I don't know but it's it's it's got statistics like you know what you see with shares and it's got sell buy sell,36,2 - 1 June - 9.30am - Synchronized Clip.txt
26:00.7,26:07.4,Outsource job India,understand,A_User,A:Interpretation,Oh OK yeah so BSE I think that minus two point nine was uhm the drop in share price or whatever,37,2 - 1 June - 9.30am - Synchronized Clip.txt
26:07.8,26:14.1,Outsource job India,understand,B_Receiver,B:Relevance judgement,So that is not what you are after and this tends to look like the whole page actually,38,2 - 1 June - 9.30am - Synchronized Clip.txt
26:14.5,26:18.5,Outsource job India,understand,A_User,A:Confirms,Just let let's ignore that and uhm,39,2 - 1 June - 9.30am - Synchronized Clip.txt
26:18.5,26:19.4,Outsource job India,understand,B_Receiver,B:Checks navigational command,So go back?,40,2 - 1 June - 9.30am - Synchronized Clip.txt
26:19.7,26:20.7,Outsource job India,understand,A_User,A:Confirms,Yeah,41,2 - 1 June - 9.30am - Synchronized Clip.txt
26:39.0,26:41.6,Outsource job India,understand,B_Receiver,B:SERP without modification,Uhm so if we go down a bit further US major media outlet outsourcing this is the deccanherald dot com major American company which owns prestigious,42,2 - 1 June - 9.30am - Synchronized Clip.txt
00:14.6,01:18.6,"recycle, automobile tires",understand,A_User,A:Initial information request,"Uses for old car then the query or, passenger vehicle tyres TYRES or in caps tires TIRES... and I wanna uhm do a date range so the data is from the most recent twelve months, so uses for old car caps or passenger vehicle or tyres TYRES caps or tires TIRES and data in the last twelve months that's the query",1,3 - 9 June - 9.30am - Synchronized Clip.txt
01:19.2,02:27.4,"recycle, automobile tires",understand,B_Receiver,B:SERP without modification,"So far from the last twelve months I first result is second hand tyres in Sydney uhm from a wreckers the second result is to compare tyres from drive dot com dot au uhm the third result is uhm another wreckers in Brisbane uhm used tyres in Frankston is the fourth result, wheel and rim profiles of passenger cars tyre size calculator uhm, then there is the car bible uhm wheel and tyre bible which looks like it is everything you need to know about wheels and tyres from car uhm the next one is Beaurepaires so an other tyres sales place uhm one used car pick the tyres uhm what damage does a car suffer if it's not regularly used on a forum and then the last result is Bridgestone pricing",2,3 - 9 June - 9.30am - Synchronized Clip.txt
02:28.5,03:17.8,"recycle, automobile tires",understand,A_User,A:Query embellishment,So we need to change to something uhm... if we... uhm... let's say [long pause] if we change the search query to uhm... recycled and can we have that in uhm inverted commas so it say it must be in the uhm... in whatever is returned recycled and then car caps or passenger vehicle tire two different versions of tyres,3,3 - 9 June - 9.30am - Synchronized Clip.txt
03:17.9,03:29.4,"recycle, automobile tires",understand,B_Receiver,B:Asks to repeat,So uhm... where it's uses for old car tires uhm old car or passenger vehicle uhm where would you like recycled [inaudible segment],4,3 - 9 June - 9.30am - Synchronized Clip.txt
03:29.6,03:54.1,"recycle, automobile tires",understand,A_User,A:Query embellishment,"So if we replace uhm uses for old, with the word recycled in inverted commas, thank you uhm so it would then be recycled car or passenger vehicle tyres tires and then at the end of this we have the word use",5,3 - 9 June - 9.30am - Synchronized Clip.txt
03:57.1,03:59.2,"recycle, automobile tires",understand,B_Receiver,B:Confirms,OK uhm,6,3 - 9 June - 9.30am - Synchronized Clip.txt
03:59.5,04:01.5,"recycle, automobile tires",understand,A_User,A:Asks if allowed to query embellish,Actually can I add something else to that?,7,3 - 9 June - 9.30am - Synchronized Clip.txt
04:01.5,04:02.4,"recycle, automobile tires",understand,B_Receiver,B:Confirms,Yeah sure,8,3 - 9 June - 9.30am - Synchronized Clip.txt
04:02.7,04:17.9,"recycle, automobile tires",understand,A_User,A:Query embellishment,Can we have not in caps wreckers and not sales actually just not wreckers first and let's see if we can use one of them,9,3 - 9 June - 9.30am - Synchronized Clip.txt
04:21.7,04:39.9,"recycle, automobile tires",understand,B_Receiver,B:SERP with modification,"OK, with the not wreckers in the search we actually get a whole lot of wreckers yes... so the first five or six results all are for wreckers",10,3 - 9 June - 9.30am - Synchronized Clip.txt
04:40.0,04:48.8,"recycle, automobile tires",understand,A_User,A:Query embellishment,Surely we should not be getting wreckers though we have not... uhm maybe just remove the word wreckers,11,3 - 9 June - 9.30am - Synchronized Clip.txt
